months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
312,55,OH,100/300,2000,2228.7,0,FEMALE,High School,armed-forces,chess,unmarried,0,0,Vehicle Theft,?,Major Damage,Other,WV,Arlington,6,4,?,2,1,?,90136.21,11324.31,12352.92,66458.98,Suburu,2007,Y
63,64,OH,250/500,1000,994.92,0,FEMALE,MD,priv-house-serv,paintball,not-in-family,80141,0,Vehicle Theft,Front Collision,Total Loss,Fire,OH,Riverview,6,3,NO,1,2,NO,74823.56,19549.23,15007.35,40266.98,Accura,2011,N
373,74,OH,100/300,2000,2175.97,5000000,FEMALE,JD,other-service,movies,wife,66004,0,Multi-vehicle Collision,?,Total Loss,None,PA,Arlington,21,3,?,0,3,?,98463.37,12942.59,19903.8,65616.98,Nissan,2004,N
467,67,OH,250/500,500,838.56,0,FEMALE,College,tech-support,movies,other-relative,69898,0,Multi-vehicle Collision,Front Collision,Minor Damage,None,WV,Northbrook,2,2,NO,0,0,NO,89100.54,22960.13,25323.86,40816.55,Mercedes,2020,N
283,67,IN,100/300,1000,896.22,0,MALE,MD,priv-house-serv,movies,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,None,NY,Springfield,15,3,YES,1,1,YES,105234.94,26277.73,22501.46,56455.75,Suburu,2005,N
120,24,OH,500/1000,2000,720.23,0,FEMALE,MD,machine-op-inspct,sleeping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Riverview,22,2,?,1,3,YES,95168.36,17995.13,26062.86,51110.37,Audi,2004,Y
106,32,IN,100/300,500,2215.19,0,FEMALE,MD,armed-forces,movies,wife,52146,-36646,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,10,4,NO,0,3,NO,85811.67,22252.67,10794.14,52764.86,Dodge,2010,Y
420,35,OH,250/500,2000,716.51,3000000,MALE,Masters,other-service,camping,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbrook,13,2,?,0,0,YES,87412.07,16659.7,9829.99,60922.38,Ford,2008,N
174,35,IN,100/300,500,776.22,0,MALE,JD,exec-managerial,golf,unmarried,63777,-22020,Parked Car,Rear Collision,Major Damage,Police,PA,Springfield,20,4,YES,2,2,YES,82236.52,19191.66,11431.37,51613.49,Suburu,1998,N
484,69,IN,250/500,2000,991.77,0,MALE,Associate,sales,golf,wife,0,0,Vehicle Theft,Rear Collision,Major Damage,Fire,NC,Columbus,20,1,YES,0,3,NO,37983.86,9948.39,10390.0,17645.47,Ford,2002,N
203,58,OH,250/500,1000,1645.32,0,MALE,PhD,exec-managerial,golf,other-relative,0,0,Single Vehicle Collision,?,Major Damage,Fire,OH,Northbrook,1,4,YES,1,1,?,29879.91,5816.09,6716.47,17347.35,Dodge,2022,N
164,41,IL,100/300,2000,2260.36,3000000,FEMALE,Associate,exec-managerial,paintball,husband,82450,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,Columbus,23,2,YES,0,3,YES,95832.54,15968.2,17684.4,62179.94,Volkswagen,2021,N
304,19,IL,100/300,1000,1336.46,0,MALE,College,tech-support,sleeping,not-in-family,0,-74639,Multi-vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverview,11,4,YES,2,3,?,111082.24,30042.58,16475.44,64564.22,Mercedes,2018,N
496,57,IL,250/500,500,1592.57,0,FEMALE,Associate,priv-house-serv,camping,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverview,0,4,?,1,1,NO,105632.88,18302.82,23617.28,63712.78,Chevrolet,2011,Y
119,37,IL,500/1000,500,832.98,0,MALE,Associate,exec-managerial,chest,unmarried,38474,-72207,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,PA,Springfield,0,4,?,0,2,?,95523.16,10817.22,12314.37,72391.57,Audi,2022,N
43,51,IL,100/300,2000,1031.89,3000000,MALE,Associate,other-service,chest,other-relative,0,0,Parked Car,?,Total Loss,Ambulance,PA,Arlington,19,3,YES,2,1,YES,48467.5,13313.68,10531.06,24622.76,Toyota,2013,N
311,60,OH,250/500,1000,767.85,0,MALE,Masters,transport-moving,camping,not-in-family,0,0,Single Vehicle Collision,?,Total Loss,Fire,NC,Columbus,13,1,NO,2,0,YES,49462.39,6491.81,9358.19,33612.39,Audi,2018,N
155,43,OH,500/1000,1000,1319.84,0,FEMALE,High School,craft-repair,exercise,husband,0,0,Multi-vehicle Collision,Rear Collision,Trivial Damage,Ambulance,PA,Riverview,9,4,NO,0,2,NO,94477.26,28015.39,13127.71,53334.16,Audi,2016,Y
366,24,OH,250/500,500,1680.67,0,FEMALE,JD,other-service,chess,other-relative,0,-85564,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Arlington,23,4,?,0,2,YES,60168.97,7228.68,6833.62,46106.67,Mercedes,1997,Y
206,55,OH,100/300,500,1068.04,0,FEMALE,Masters,prof-specialty,chess,husband,5263,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,Hillsdale,0,3,YES,2,0,YES,105391.35,26320.16,19672.69,59398.5,Audi,2017,Y
389,47,OH,250/500,2000,2191.99,0,MALE,PhD,exec-managerial,golf,own-child,94379,0,Single Vehicle Collision,Rear Collision,Trivial Damage,Ambulance,NC,Springfield,17,4,NO,1,2,YES,5796.4,855.03,1698.0,3243.37,Dodge,1996,Y
107,59,OH,250/500,500,2462.48,0,FEMALE,JD,other-service,sleeping,own-child,0,0,Parked Car,Front Collision,Minor Damage,None,WV,Hillsdale,15,3,NO,2,1,?,113280.34,26970.32,14435.78,71874.24,Dodge,2004,Y
250,22,IN,250/500,500,740.31,0,MALE,MD,armed-forces,chess,other-relative,34091,0,Single Vehicle Collision,?,Major Damage,None,NC,Northbrook,1,3,?,1,2,?,94761.4,18335.04,9783.61,66642.75,Mercedes,2007,Y
444,28,IN,100/300,1000,535.72,0,FEMALE,High School,machine-op-inspct,chess,husband,0,0,Vehicle Theft,Rear Collision,Major Damage,Fire,OH,Arlington,20,3,NO,0,2,?,80281.59,14285.09,17529.58,48466.92,Accura,2018,Y
403,18,OH,500/1000,1000,2079.55,0,MALE,PhD,other-service,movies,not-in-family,0,-39229,Multi-vehicle Collision,Side Collision,Major Damage,None,SC,Arlington,9,1,?,0,3,?,31867.68,7451.31,5052.49,19363.88,Chevrolet,2010,N
369,51,OH,500/1000,1000,881.29,3000000,FEMALE,College,priv-house-serv,cross-fit,husband,56335,-60038,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Columbus,10,1,NO,1,1,YES,117817.22,23296.14,16308.32,78212.76,Nissan,2022,N
333,73,IN,500/1000,500,1206.29,0,FEMALE,MD,prof-specialty,base-jumping,wife,0,-59429,Single Vehicle Collision,?,Minor Damage,Ambulance,PA,Arlington,20,1,YES,2,0,?,95400.8,25052.32,19819.84,50528.64,Toyota,2007,N
129,18,IN,500/1000,2000,1288.46,0,MALE,Masters,machine-op-inspct,base-jumping,wife,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,None,VA,Northbrook,14,3,NO,2,0,?,72543.59,10685.78,11449.14,50408.67,BMW,2012,N
456,36,OH,100/300,2000,2333.2,0,MALE,Associate,prof-specialty,reading,own-child,0,-96599,Parked Car,Side Collision,Major Damage,Police,WV,Springfield,12,1,?,2,3,NO,74345.85,10233.37,12977.0,51135.48,Jeep,2010,N
292,19,IN,250/500,500,1817.68,0,FEMALE,PhD,priv-house-serv,camping,own-child,0,0,Single Vehicle Collision,?,Minor Damage,Fire,NC,Riverview,22,3,NO,1,0,NO,92363.44,15838.93,26217.51,50307.0,Honda,1995,N
19,38,IL,500/1000,2000,581.22,0,FEMALE,College,craft-repair,chest,husband,28717,0,Parked Car,Side Collision,Major Damage,None,SC,Springfield,11,3,NO,1,0,YES,90081.44,15524.02,10902.55,63654.87,Ford,2002,N
281,37,IL,500/1000,500,529.62,1000000,FEMALE,Associate,prof-specialty,base-jumping,husband,0,-98651,Multi-vehicle Collision,Front Collision,Trivial Damage,None,NC,Hillsdale,11,4,?,2,3,?,53315.65,14228.61,15781.5,23305.54,Nissan,2016,N
284,40,IL,100/300,2000,899.14,0,MALE,Associate,machine-op-inspct,chest,unmarried,95505,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Hillsdale,5,4,NO,1,0,NO,17206.59,4955.37,3516.77,8734.45,Toyota,1995,N
0,38,IN,250/500,500,1136.34,2000000,MALE,Associate,sales,paintball,wife,77227,0,Parked Car,?,Trivial Damage,Fire,WV,Arlington,6,3,NO,0,3,?,12752.78,2998.59,2153.32,7600.87,BMW,2020,N
118,41,OH,250/500,1000,1469.05,0,FEMALE,High School,prof-specialty,cross-fit,husband,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,SC,Riverview,14,1,NO,2,3,?,57193.21,11533.85,10604.57,35054.79,Volkswagen,1998,N
34,21,OH,500/1000,2000,2175.68,0,FEMALE,MD,exec-managerial,sleeping,husband,633,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Columbus,11,3,?,1,0,?,35432.39,7585.94,4897.75,22948.7,Jeep,2018,N
197,29,OH,500/1000,1000,1129.64,0,FEMALE,Associate,armed-forces,paintball,own-child,0,-29195,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Arlington,10,2,NO,1,1,?,11078.44,1828.83,1222.05,8027.56,Volkswagen,2011,N
484,39,IN,250/500,1000,1253.07,0,MALE,College,priv-house-serv,golf,other-relative,0,-48414,Multi-vehicle Collision,Front Collision,Minor Damage,None,NY,Northbrook,12,4,YES,1,3,?,63166.79,15833.83,9961.42,37371.54,Honda,1998,N
244,37,IN,100/300,2000,1158.68,4000000,MALE,PhD,craft-repair,exercise,own-child,0,0,Single Vehicle Collision,Front Collision,Trivial Damage,Fire,NY,Riverview,22,3,?,2,0,YES,109603.4,28494.37,26063.07,55045.96,Accura,1996,Y
58,35,IL,250/500,500,517.93,0,MALE,High School,armed-forces,camping,husband,0,-65194,Multi-vehicle Collision,Side Collision,Trivial Damage,Other,PA,Columbus,19,2,YES,2,2,NO,79510.97,9945.94,10197.06,59367.97,Jeep,2010,N
324,18,IN,250/500,1000,2410.4,0,MALE,MD,sales,reading,wife,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Northbend,4,3,YES,1,3,NO,17526.85,2959.72,1857.6,12709.53,Volkswagen,2009,Y
160,47,IL,500/1000,1000,777.99,2000000,MALE,PhD,prof-specialty,movies,other-relative,0,-36635,Multi-vehicle Collision,Rear Collision,Trivial Damage,Police,PA,Columbus,5,4,?,0,2,?,93821.11,14774.84,12740.8,66305.47,BMW,2003,N
496,50,IL,100/300,500,1075.33,0,MALE,High School,machine-op-inspct,movies,unmarried,54355,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,PA,Springfield,2,3,YES,1,3,?,24670.69,6686.43,7192.83,10791.43,Nissan,2002,N
178,41,OH,100/300,500,758.61,0,MALE,High School,armed-forces,cross-fit,not-in-family,41566,-21407,Single Vehicle Collision,Front Collision,Minor Damage,Police,PA,Northbrook,11,1,YES,2,3,NO,61841.77,16917.38,16227.76,28696.63,BMW,2008,N
205,31,IN,100/300,2000,1481.09,0,MALE,College,machine-op-inspct,exercise,not-in-family,0,-12841,Single Vehicle Collision,?,Major Damage,Fire,SC,Riverview,20,1,YES,2,2,?,113647.4,30496.28,15323.39,67827.73,Ford,2005,N
11,53,OH,500/1000,2000,2364.33,0,FEMALE,JD,priv-house-serv,sleeping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NC,Northbend,13,2,?,1,2,NO,90195.36,24492.77,16581.23,49121.36,Dodge,2008,N
489,22,OH,100/300,500,701.4,0,FEMALE,College,other-service,base-jumping,unmarried,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NY,Northbrook,6,3,NO,1,1,NO,98491.22,26299.88,15272.37,56918.97,Suburu,2019,N
275,28,IN,100/300,1000,1381.79,0,MALE,MD,exec-managerial,cross-fit,wife,30451,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,VA,Arlington,15,4,YES,2,1,NO,59797.29,11290.75,10674.29,37832.25,Honda,2004,N
180,41,IN,500/1000,500,544.75,0,MALE,JD,craft-repair,chess,other-relative,0,-83248,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NC,Northbrook,1,1,?,0,0,YES,119944.38,27852.78,17397.68,74693.92,Mercedes,2004,N
241,48,IL,250/500,2000,2041.8,0,MALE,JD,craft-repair,chest,not-in-family,0,-32936,Single Vehicle Collision,Side Collision,Total Loss,None,NY,Springfield,6,4,YES,2,2,NO,27677.74,3288.54,5593.62,18795.58,Jeep,2018,Y
215,72,IL,100/300,1000,1782.45,0,MALE,College,tech-support,exercise,wife,0,-84221,Multi-vehicle Collision,?,Major Damage,None,NY,Columbus,22,3,YES,2,3,YES,83645.99,16971.28,25008.91,41665.8,Saab,2010,Y
250,30,IL,250/500,1000,1899.4,0,FEMALE,JD,machine-op-inspct,cross-fit,not-in-family,0,-96639,Multi-vehicle Collision,Rear Collision,Major Damage,Police,WV,Northbrook,3,4,YES,1,0,YES,107058.04,26666.51,23800.18,56591.35,Suburu,2004,Y
298,33,IL,100/300,2000,1444.67,0,FEMALE,Associate,craft-repair,golf,other-relative,0,-46702,Single Vehicle Collision,?,Trivial Damage,Fire,WV,Columbus,19,4,YES,0,3,?,72964.68,11238.51,12624.24,49101.93,Dodge,2019,Y
125,41,OH,250/500,1000,2315.27,0,FEMALE,PhD,priv-house-serv,exercise,unmarried,49196,-65336,Vehicle Theft,Front Collision,Total Loss,Ambulance,OH,Columbus,23,3,YES,1,0,NO,112805.87,18997.97,23191.38,70616.52,Volkswagen,2016,Y
481,30,OH,250/500,500,1319.11,1000000,FEMALE,Masters,sales,camping,unmarried,0,0,Single Vehicle Collision,Front Collision,Trivial Damage,Police,NC,Riverview,16,1,?,0,3,NO,113661.01,28146.83,14169.07,71345.11,Volkswagen,2022,N
216,41,IN,500/1000,2000,1528.17,0,FEMALE,Associate,exec-managerial,paintball,wife,0,-95269,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NC,Columbus,11,1,?,1,0,?,104992.82,14719.15,16439.54,73834.13,Toyota,2021,Y
305,71,IL,500/1000,1000,1890.58,0,MALE,JD,other-service,sleeping,other-relative,33451,0,Multi-vehicle Collision,Front Collision,Minor Damage,None,SC,Northbrook,21,4,NO,1,1,YES,83844.46,11385.59,24447.84,48011.03,Saab,2003,Y
284,43,IL,100/300,2000,1541.12,2000000,MALE,Masters,exec-managerial,chest,not-in-family,0,0,Single Vehicle Collision,Front Collision,Trivial Damage,Police,NC,Northbrook,4,2,?,2,2,?,107273.18,15966.48,20680.66,70626.04,Nissan,2004,Y
184,19,IL,100/300,1000,878.67,0,MALE,PhD,machine-op-inspct,sleeping,unmarried,0,-64626,Single Vehicle Collision,Side Collision,Trivial Damage,Other,PA,Columbus,17,4,?,1,1,?,25818.26,4483.56,3858.15,17476.55,Mercedes,2018,Y
38,33,OH,500/1000,500,1134.14,0,MALE,College,priv-house-serv,chess,other-relative,75152,0,Single Vehicle Collision,?,Total Loss,Other,NC,Hillsdale,13,3,?,1,2,YES,77203.9,21637.09,14402.36,41164.45,Saab,1995,Y
222,55,IN,100/300,2000,684.59,0,FEMALE,Masters,craft-repair,exercise,unmarried,24138,0,Single Vehicle Collision,?,Major Damage,None,NY,Columbus,17,3,YES,2,2,NO,32521.86,7849.51,9441.43,15230.92,BMW,2003,N
183,63,OH,100/300,1000,1365.23,5000000,FEMALE,Masters,transport-moving,base-jumping,husband,19772,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Columbus,5,3,?,2,0,NO,12407.11,3264.36,2575.92,6566.83,Toyota,2011,N
494,18,IN,500/1000,500,1718.78,3000000,FEMALE,MD,machine-op-inspct,cross-fit,unmarried,55708,0,Single Vehicle Collision,Side Collision,Total Loss,Police,NC,Riverview,23,2,?,1,1,NO,87810.67,24226.76,11747.68,51836.23,Suburu,2019,Y
426,66,IN,250/500,500,737.06,0,MALE,MD,other-service,exercise,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,None,WV,Arlington,5,4,?,1,3,?,29564.79,5235.26,6651.47,17678.06,Audi,2016,N
177,28,OH,100/300,500,1761.17,0,FEMALE,College,priv-house-serv,golf,wife,0,-84796,Single Vehicle Collision,?,Minor Damage,None,NC,Riverview,0,2,?,2,3,NO,16333.22,4292.14,4518.4,7522.68,Honda,2008,N
406,68,OH,500/1000,1000,2285.74,2000000,MALE,MD,prof-specialty,movies,husband,0,0,Parked Car,Side Collision,Trivial Damage,Other,SC,Northbend,2,2,NO,0,0,?,66714.62,10514.64,15772.7,40427.28,Volkswagen,2002,N
427,52,IN,100/300,1000,1175.45,0,FEMALE,Masters,transport-moving,golf,wife,0,-63819,Parked Car,Side Collision,Trivial Damage,Other,PA,Columbus,0,3,NO,2,2,?,14180.42,4161.31,3831.9,6187.21,Honda,1998,N
293,60,OH,100/300,500,944.07,0,FEMALE,College,armed-forces,reading,husband,32919,-25395,Single Vehicle Collision,Side Collision,Trivial Damage,Fire,VA,Columbus,3,3,NO,0,1,?,67174.72,13958.73,14978.1,38237.89,Saab,2006,Y
339,46,OH,500/1000,500,2286.01,0,FEMALE,Masters,armed-forces,cross-fit,wife,0,0,Multi-vehicle Collision,?,Minor Damage,Police,WV,Hillsdale,10,4,NO,0,1,NO,85615.72,22970.48,16227.29,46417.95,Audi,2020,N
150,54,IN,500/1000,500,1883.89,0,MALE,High School,machine-op-inspct,chest,unmarried,0,0,Parked Car,Front Collision,Minor Damage,Fire,VA,Riverview,19,2,YES,1,0,NO,8515.19,2247.94,1804.65,4462.6,Honda,2002,Y
383,34,IN,100/300,500,710.79,0,FEMALE,High School,priv-house-serv,chest,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,PA,Hillsdale,15,4,YES,0,1,?,81255.34,23337.34,18741.95,39176.05,Toyota,1995,Y
125,71,IL,100/300,500,1316.22,0,MALE,JD,machine-op-inspct,chess,own-child,0,0,Multi-vehicle Collision,Front Collision,Trivial Damage,Other,WV,Springfield,19,1,?,1,2,NO,75310.05,16366.79,21206.01,37737.25,Suburu,2006,Y
300,56,OH,250/500,1000,1848.18,0,MALE,MD,priv-house-serv,camping,not-in-family,0,0,Vehicle Theft,Front Collision,Trivial Damage,Other,NC,Northbrook,20,4,YES,1,0,YES,21571.75,5818.02,4848.86,10904.87,Honda,2007,Y
307,59,IN,250/500,2000,1648.77,0,MALE,JD,exec-managerial,base-jumping,own-child,0,0,Single Vehicle Collision,Front Collision,Trivial Damage,Ambulance,SC,Hillsdale,2,4,NO,1,0,?,83754.13,24436.77,15154.96,44162.4,Toyota,2017,Y
335,45,OH,500/1000,2000,1737.09,0,FEMALE,High School,prof-specialty,base-jumping,own-child,0,-53037,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Hillsdale,13,2,YES,0,0,NO,83333.91,13471.3,18355.5,51507.11,Audi,1999,Y
433,46,OH,100/300,2000,1634.27,0,FEMALE,Associate,priv-house-serv,chest,husband,0,0,Multi-vehicle Collision,Side Collision,Trivial Damage,None,NC,Hillsdale,9,2,?,2,3,NO,54455.11,6298.94,10958.26,37197.91,BMW,2020,N
233,60,IN,500/1000,1000,2096.12,0,FEMALE,High School,exec-managerial,reading,own-child,0,-58475,Multi-vehicle Collision,Rear Collision,Trivial Damage,None,OH,Springfield,6,3,?,0,2,?,52415.29,6998.39,8348.06,37068.84,BMW,2022,N
379,20,IL,500/1000,2000,1140.85,3000000,FEMALE,High School,craft-repair,paintball,wife,0,-17193,Vehicle Theft,Rear Collision,Minor Damage,Fire,VA,Columbus,16,4,YES,0,1,?,50579.89,8582.47,5638.09,36359.33,Audi,1995,N
374,69,IN,100/300,2000,1916.92,0,MALE,Associate,tech-support,golf,husband,81035,-36323,Multi-vehicle Collision,Front Collision,Minor Damage,Police,VA,Riverview,8,4,YES,1,2,?,18281.02,3021.22,2755.24,12504.56,Honda,2008,N
7,27,IN,250/500,2000,2482.16,0,FEMALE,Associate,priv-house-serv,base-jumping,husband,0,0,Vehicle Theft,Front Collision,Major Damage,None,VA,Arlington,1,2,NO,1,1,?,117747.86,14082.91,33746.22,69918.73,Volkswagen,2013,N
497,59,OH,500/1000,2000,1279.92,0,MALE,PhD,tech-support,camping,not-in-family,0,-37994,Single Vehicle Collision,Side Collision,Minor Damage,None,NC,Riverview,7,1,YES,2,2,YES,38807.28,10795.83,7268.2,20743.25,BMW,2013,N
340,31,IL,500/1000,500,2082.1,0,MALE,Masters,machine-op-inspct,exercise,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Northbend,0,2,?,1,0,?,102514.3,22591.69,21888.88,58033.73,Ford,2015,N
128,29,IN,100/300,1000,992.22,0,FEMALE,Masters,sales,camping,wife,0,-28323,Single Vehicle Collision,?,Total Loss,Ambulance,NY,Riverview,3,2,NO,0,1,NO,41338.62,11172.77,8226.96,21938.89,Saab,2001,Y
263,64,OH,250/500,2000,1063.79,0,MALE,College,transport-moving,exercise,wife,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,13,3,YES,0,0,NO,88409.37,9426.26,20646.07,58337.04,Toyota,2006,N
156,59,IN,250/500,500,2369.73,2000000,MALE,JD,craft-repair,sleeping,unmarried,0,0,Single Vehicle Collision,Front Collision,Trivial Damage,None,VA,Columbus,9,1,?,0,1,YES,110269.44,19126.64,20408.87,70733.93,Audi,2009,Y
351,47,OH,100/300,2000,551.88,0,FEMALE,MD,exec-managerial,golf,other-relative,16995,0,Single Vehicle Collision,?,Minor Damage,None,PA,Northbend,15,3,NO,1,3,YES,52343.34,9457.67,10869.7,32015.97,Accura,2018,N
357,49,IN,500/1000,2000,934.85,0,MALE,College,craft-repair,paintball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Trivial Damage,Police,NC,Northbend,22,3,?,0,0,?,23759.36,4057.23,5030.47,14671.66,Ford,2001,Y
4,49,IL,100/300,2000,1465.84,0,FEMALE,PhD,tech-support,paintball,other-relative,77678,0,Single Vehicle Collision,Rear Collision,Minor Damage,None,VA,Arlington,16,4,YES,2,2,YES,37273.61,10300.86,5026.03,21946.72,Mercedes,2021,N
494,59,IN,100/300,2000,1303.7,4000000,FEMALE,College,tech-support,golf,own-child,74881,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NC,Columbus,17,2,YES,1,0,YES,48175.18,9461.91,10520.47,28192.8,BMW,2003,N
85,49,OH,250/500,2000,1758.34,0,MALE,PhD,transport-moving,golf,own-child,72224,0,Multi-vehicle Collision,?,Trivial Damage,Ambulance,OH,Arlington,14,4,?,1,2,NO,33775.7,6447.07,4673.83,22654.8,Chevrolet,2010,Y
174,43,IN,500/1000,500,885.44,0,FEMALE,PhD,other-service,base-jumping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Hillsdale,23,1,YES,2,1,NO,69670.24,20752.8,12135.48,36781.96,Toyota,1998,N
289,68,IL,500/1000,2000,641.09,1000000,MALE,JD,machine-op-inspct,sleeping,own-child,0,-73587,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,Arlington,11,2,YES,2,1,NO,102483.77,16452.8,17757.21,68273.76,Honda,1999,N
192,18,IL,250/500,500,1238.67,0,FEMALE,PhD,exec-managerial,reading,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Riverview,14,3,NO,0,1,NO,71052.66,10955.58,21028.5,39068.58,Ford,2008,Y
310,73,IL,500/1000,2000,1548.71,0,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,Parked Car,Side Collision,Total Loss,None,OH,Springfield,10,2,?,1,3,NO,95898.33,14795.41,21499.74,59603.18,Mercedes,2016,N
118,59,IL,500/1000,1000,1624.0,0,FEMALE,JD,sales,paintball,own-child,0,0,Parked Car,Side Collision,Minor Damage,None,NY,Springfield,10,2,YES,1,2,?,15682.88,1703.73,1617.87,12361.28,Honda,2006,N
217,19,OH,100/300,500,1702.99,0,FEMALE,High School,prof-specialty,base-jumping,unmarried,0,-2105,Parked Car,?,Total Loss,Ambulance,OH,Riverview,14,4,YES,0,1,YES,72999.38,18964.65,21067.19,32967.54,Toyota,2010,N
426,34,IN,100/300,2000,1597.32,0,FEMALE,PhD,priv-house-serv,camping,not-in-family,35595,0,Vehicle Theft,Front Collision,Minor Damage,Fire,WV,Arlington,11,1,YES,0,3,?,14863.95,2434.71,2851.06,9578.18,Toyota,2015,N
457,47,IL,100/300,500,991.5,0,MALE,College,tech-support,exercise,wife,13455,0,Parked Car,Rear Collision,Total Loss,Ambulance,PA,Northbend,18,4,YES,0,1,?,110846.51,33214.05,12157.4,65475.06,Dodge,1999,Y
413,73,IN,500/1000,2000,2029.1,0,FEMALE,MD,sales,movies,wife,0,-35154,Multi-vehicle Collision,Rear Collision,Major Damage,Police,WV,Hillsdale,21,3,?,0,3,NO,115368.56,13109.75,18181.58,84077.23,Dodge,2004,Y
113,56,OH,500/1000,2000,675.56,0,MALE,Masters,armed-forces,movies,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Springfield,23,1,NO,0,1,YES,27128.76,5763.13,5649.5,15716.13,Volkswagen,1999,N
465,24,IN,500/1000,500,896.71,0,FEMALE,PhD,tech-support,exercise,wife,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NC,Northbrook,19,3,?,1,3,NO,78628.18,18172.14,20114.17,40341.87,Nissan,2015,Y
144,69,IN,500/1000,2000,1978.76,0,MALE,College,tech-support,sleeping,other-relative,0,-1563,Single Vehicle Collision,Front Collision,Trivial Damage,Fire,SC,Riverview,10,4,?,0,0,NO,23442.16,5379.5,4727.87,13334.79,Chevrolet,2022,Y
25,44,IL,250/500,2000,1059.45,0,MALE,Masters,craft-repair,exercise,other-relative,5299,0,Parked Car,Rear Collision,Trivial Damage,Fire,NY,Arlington,9,3,YES,1,0,?,77604.26,12179.35,17231.17,48193.74,Volkswagen,2016,N
135,26,IL,250/500,2000,1486.95,0,MALE,JD,armed-forces,reading,own-child,25103,0,Multi-vehicle Collision,Rear Collision,Total Loss,None,NY,Arlington,23,3,?,0,0,NO,36034.6,7580.48,8458.21,19995.91,Ford,2004,Y
302,39,OH,500/1000,2000,1154.4,1000000,MALE,Associate,machine-op-inspct,base-jumping,husband,0,-51880,Parked Car,Front Collision,Major Damage,None,OH,Northbend,10,3,YES,1,2,NO,101356.67,27766.27,16906.25,56684.15,Dodge,1995,Y
231,51,IN,100/300,2000,1513.96,0,MALE,MD,transport-moving,movies,unmarried,74450,0,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Hillsdale,20,3,?,2,3,NO,69494.91,7820.68,10990.85,50683.38,Chevrolet,2017,Y
368,63,OH,100/300,2000,1193.31,0,FEMALE,Associate,transport-moving,cross-fit,unmarried,0,0,Single Vehicle Collision,Side Collision,Trivial Damage,Fire,NC,Arlington,11,1,YES,2,3,?,16007.08,2745.11,2721.03,10540.94,Mercedes,2021,N
75,66,OH,250/500,500,2488.42,2000000,MALE,College,tech-support,reading,not-in-family,0,-71318,Single Vehicle Collision,Side Collision,Trivial Damage,Other,PA,Arlington,14,1,NO,2,3,YES,48546.69,9983.17,14323.81,24239.71,Audi,2000,N
